task_id	sample_no	task	true_result	model_result	accuracy	in_accuracy
1	1	"John travelled to the hallway.
Mary journeyed to the bathroom.
7	3	" 
Daniel went back to the kitchen.
Mary travelled to the hallway.
How many objects is Sandra carrying?"	one	according to the context, sandra is still not carrying any objects
7	4	"Sandra travelled to the bathroom.
Daniel journeyed to the bedroom.
Daniel went to the hallway.
Sandra journeyed to the hallway.
Daniel went back to the bedroom.
John moved to the garden.
Daniel journeyed to the hallway.
John grabbed the apple there.
How many objects is John carrying?"	one	according to the context, john grabbed the apple in the hallway
7	4	" 
John gave the apple to Mary.
Mary passed the apple to John.
How many objects is John carrying?"	one	since john gave the apple to mary and then mary passed it
7	4	" 
Mary journeyed to the hallway.
John dropped the apple there.
How many objects is John carrying?"	none	john dropped the apple, so he is not carrying any objects
7	4	" 
Sandra went to the garden.
Mary went to the kitchen.
How many objects is Mary carrying?"	none	there is no information about mary carrying any objects in the given
7	4	" 
Mary picked up the football there.
Mary picked up the milk there.
How many objects is Mary carrying?"	two	mary picked up the football and the milk, so she is
7	5	"John moved to the hallway.
Mary grabbed the milk there.
How many objects is Mary carrying?"	one	according to the context, mary is grabbing the milk, which
7	5	" 
John went back to the kitchen.
Sandra got the football there.
How many objects is Sandra carrying?"	one	there is no information about sandra carrying any objects. the sentence
7	5	" 
Mary picked up the apple there.
Mary dropped the milk.
How many objects is Mary carrying?"	one	mary picked up the apple, but dropped the milk. so
7	5	" 
John travelled to the hallway.
Sandra left the football.
How many objects is Mary carrying?"	one	there is no information about mary carrying any objects in this sentence
7	5	" 
John moved to the garden.
John went back to the kitchen.
How many objects is Sandra carrying?"	none	there is no information about sandra carrying any objects in this sentence
8	1	"Mary got the milk there.
John moved to the bedroom.
What is Mary carrying?"	milk	according to the context, mary got the milk there, so	0.0	0.48
8	1	" 
John picked up the football there.
John journeyed to the bathroom.
What is John carrying?"	football	according to the context, john picked up the football there,
8	1	" 
John went to the garden.
Daniel went back to the hallway.
What is John carrying?"	football	we don't have any information about john carrying anything in this
8	1	" 
John went back to the bathroom.
Mary went to the office.
Sandra went back to the kitchen.
Mary travelled to the hallway.
John travelled to the bedroom.
John picked up the apple there.
What is John carrying?"	football,apple	according to the context, john picked up the apple there,
8	1	" 
Sandra travelled to the bedroom.
Sandra journeyed to the kitchen.
What is John carrying?"	football,apple	we still don't have any information about john carrying anything in
8	2	"Daniel grabbed the milk there.
Sandra went back to the bathroom.
What is Daniel carrying?"	milk	according to the context, daniel is carrying the milk.
8	2	" 
Daniel went back to the garden.
Daniel dropped the milk.
What is Daniel carrying?"	nothing	according to the context, daniel is not carrying anything. he
8	2	" 
John travelled to the bedroom.
Sandra journeyed to the bedroom.
What is Daniel carrying?"	nothing	the context doesn't mention daniel carrying anything in this scenario.
8	2	" 
Daniel journeyed to the bedroom.
John went to the bathroom.
What is Daniel carrying?"	nothing	according to the context, daniel is not carrying anything.
8	2	" 
John travelled to the kitchen.
Sandra went to the kitchen.
Mary went back to the bedroom.
John journeyed to the office.
John moved to the garden.
John grabbed the milk there.
What is John carrying?"	milk	according to the context, john is carrying the milk.
8	3	"Mary grabbed the milk there.
Daniel moved to the bedroom.
What is Mary carrying?"	milk	according to the context, mary grabbed the milk, so mary
8	3	" 
John travelled to the bedroom.
Daniel grabbed the apple there.
What is Daniel carrying?"	apple	according to the context, daniel grabbed the apple, so daniel
8	3	" 
Daniel discarded the apple.
John went back to the garden.
What is Daniel carrying?"	nothing	according to the context, daniel discarded the apple, so daniel
8	3	" 
Daniel went back to the office.
Mary travelled to the garden.
What is Daniel carrying?"	nothing	according to the context, daniel discarded the apple, so daniel
8	3	" 
Mary journeyed to the hallway.
Daniel went to the hallway.
John went to the bathroom.
John went back to the kitchen.
Mary discarded the milk there.
Sandra grabbed the milk there.
What is Mary carrying?"	nothing	according to the context, mary discarded the milk, so mary
8	4	"Mary went to the kitchen.
Daniel took the football there.
What is Daniel carrying?"	football	the answer is: football.
8	4	" 
Daniel dropped the football.
Sandra grabbed the milk there.
What is Daniel carrying?"	nothing	the answer is: nothing, since daniel dropped the football.
8	4	" 
Mary travelled to the garden.
Daniel went back to the bedroom.
What is Sandra carrying?"	milk	the answer is: milk.
8	4	" 
Sandra discarded the milk.
Sandra grabbed the milk there.
What is Sandra carrying?"	milk	the answer is: milk.
8	4	" 
Mary moved to the bedroom.
John got the apple there.
What is Sandra carrying?"	milk	the answer is: milk.
8	5	"Sandra travelled to the garden.
Mary grabbed the milk there.
What is Mary carrying?"	milk	"mary is not carrying anything. the sentence ""mary grabbed the"
8	5	" 
John moved to the hallway.
John went back to the garden.
What is Mary carrying?"	milk	the question is asking about mary, but the context only mentions
8	5	" 
Daniel went to the hallway.
Sandra journeyed to the hallway.
What is Mary carrying?"	milk	there is no mention of mary in the given context, so
8	5	" 
Daniel took the football there.
Daniel journeyed to the bathroom.
What is Daniel carrying?"	football	according to the context, daniel is carrying the football.
8	5	" 
Daniel journeyed to the hallway.
Mary put down the milk.
What is Daniel carrying?"	football	according to the context, daniel is not carrying anything. the
9	1	"John is in the hallway.
Sandra is in the kitchen.
Is Sandra in the bedroom?"	no	"no, according to the context sentence ""sandra is in"	0.0	0.88
9	1	" 
Sandra journeyed to the bedroom.
Mary travelled to the garden.
Is Sandra in the bedroom?"	yes	"yes, according to the context sentence ""sandra journeyed"
9	1	" 
Mary went back to the bathroom.
Sandra is no longer in the bedroom.
Is Sandra in the bedroom?"	no	"no, according to the context sentence ""sandra is no"
9	1	" 
John is in the office.
Mary is not in the bathroom.
Is Mary in the bathroom?"	no	"no, according to the context sentence ""mary is not in"
9	1	" 
John is in the hallway.
Mary journeyed to the garden.
Is Mary in the kitchen?"	no	"no, according to the context sentence ""mary journeyed to"
9	2	"Mary journeyed to the office.
Mary went back to the garden.
Is Mary in the office?"	no	based on the context sentences, we know that mary went to
9	2	" 
Daniel is no longer in the kitchen.
John is no longer in the bathroom.
Is Daniel in the kitchen?"	no	based on the context sentences, we know that daniel is no
9	2	" 
John is in the garden.
Sandra travelled to the bedroom.
Is John in the garden?"	yes	yes, according to the context sentence, john is indeed in
9	2	" 
Mary travelled to the kitchen.
Sandra is not in the bedroom.
Is John in the garden?"	yes	yes, according to the context sentence, john is still in
9	2	" 
John went back to the hallway.
Daniel travelled to the bathroom.
Is Daniel in the bathroom?"	yes	yes, according to the context sentence, daniel travelled to the
9	3	"John is not in the bathroom.
Sandra is not in the bedroom.
Is John in the bathroom?"	no	according to the context sentences, the answer is: no,
9	3	" 
Mary journeyed to the garden.
Sandra is in the hallway.
Is Sandra in the hallway?"	yes	according to the context sentences, the answer is: yes,
9	3	" 
Sandra is not in the hallway.
Mary went back to the kitchen.
Is Mary in the garden?"	no	according to the context sentences, the answer is: yes,
9	3	" 
Mary is in the hallway.
Mary journeyed to the kitchen.
Is Sandra in the hallway?"	no	according to the context sentences, the answer is: no,
9	3	" 
John is in the bedroom.
Sandra is not in the garden.
Is Mary in the kitchen?"	yes	according to the context sentences, the answer is: yes,
9	4	"John moved to the hallway.
John journeyed to the office.
Is John in the bathroom?"	no	based on the context sentences, we know that john moved to
9	4	" 
Daniel went back to the office.
Sandra is no longer in the hallway.
Is Sandra in the hallway?"	no	based on the context sentences, we know that sandra is no
9	4	" 
Sandra went to the hallway.
John travelled to the garden.
Is John in the garden?"	yes	based on the context sentences, we know that john travelled to
9	4	" 
Daniel went back to the bathroom.
John travelled to the office.
Is John in the kitchen?"	no	based on the context sentences, we know that john travelled to
9	4	" 
Sandra is in the kitchen.
Sandra is no longer in the kitchen.
Is Sandra in the kitchen?"	no	based on the context sentences, we know that sandra is no
9	5	"John is no longer in the garden.
Daniel is in the hallway.
Is John in the garden?"	no	"according to the context sentence ""john is no longer in the"
9	5	" 
Mary is not in the kitchen.
Mary is in the hallway.
Is Mary in the hallway?"	yes	"yes, according to the context sentence ""mary is in the"
9	5	" 
Sandra travelled to the hallway.
Mary moved to the office.
Is Daniel in the hallway?"	yes	"according to the original context sentence ""daniel is in the hallway"
9	5	" 
Sandra is no longer in the hallway.
Mary went back to the hallway.
Is Sandra in the hallway?"	no	"no, according to the context sentence ""sandra travelled to"
9	5	" 
Sandra journeyed to the office.
Mary went back to the kitchen.
Is Mary in the kitchen?"	yes	"yes, according to the context sentence ""mary went back to"
10	1	"Mary is in the school.
Bill is in the kitchen.
Is Bill in the bedroom?"	no	the answer is: no.	0.0	0.68
10	1	" 
Bill journeyed to the bedroom.
Fred travelled to the cinema.
Is Bill in the bedroom?"	yes	the answer is: yes.
10	1	" 
Fred went back to the park.
Bill is either in the school or the office.
Is Bill in the park?"	no	the answer is: no.
10	1	" 
Mary went to the cinema.
Julie is either in the school or the office.
Is Fred in the park?"	yes	the answer is: yes.
10	1	" 
Julie is either in the park or the school.
Bill went back to the office.
Is Bill in the office?"	yes	the answer is: yes.
10	2	"Fred journeyed to the office.
Fred went back to the cinema.
Is Fred in the office?"	no	no, fred is not in the office.
10	2	" 
Julie is either in the school or the office.
Julie moved to the cinema.
Is Julie in the cinema?"	yes	yes, julie is in the cinema.
10	2	" 
Julie is either in the kitchen or the bedroom.
Julie journeyed to the school.
Is Julie in the school?"	yes	no, julie is not in the school.
10	2	" 
Bill is either in the bedroom or the school.
Bill went to the bedroom.
Is Bill in the office?"	no	no, bill is not in the office.
10	2	" 
Julie journeyed to the park.
Mary travelled to the school.
Is Julie in the park?"	yes	yes, julie is in the park.
10	3	"Bill is in the kitchen.
Julie is either in the school or the cinema.
Is Bill in the bedroom?"	no	no, bill is not in the bedroom.
10	3	" 
Fred is in the bedroom.
Bill is in the school.
Is Julie in the bedroom?"	no	we don't know. the context sentence only tells us that
10	3	" 
Julie is either in the bedroom or the office.
Fred is in the park.
Is Julie in the bedroom?"	maybe	yes, julie is in the bedroom.
10	3	" 
Fred is either in the school or the bedroom.
Mary went to the kitchen.
Is Bill in the school?"	yes	yes, bill is in the school.
10	3	" 
Julie is either in the kitchen or the bedroom.
Julie is in the school.
Is Julie in the school?"	yes	no, julie is not in the school.
10	4	"Julie journeyed to the bedroom.
Julie travelled to the park.
Is Julie in the kitchen?"	no	based on the context sentences, we can infer that julie is
10	4	" 
Fred is either in the office or the kitchen.
Julie travelled to the bedroom.
Is Julie in the bedroom?"	yes	according to the context sentences, yes, julie is in the
10	4	" 
Julie moved to the office.
Mary is either in the office or the kitchen.
Is Julie in the kitchen?"	no	since julie moved to the office, and mary is either in
10	4	" 
Bill is in the kitchen.
Bill is either in the bedroom or the park.
Is Mary in the kitchen?"	maybe	according to the context sentences, we know that bill is in
10	4	" 
Fred is either in the bedroom or the bedroom.
Julie went to the bedroom.
Is Mary in the kitchen?"	maybe	the information provided does not mention mary's location, so we
10	5	"Bill went to the kitchen.
Fred is either in the office or the park.
Is Fred in the park?"	maybe	the answer is: no.
10	5	" 
Fred went to the bedroom.
Mary is either in the school or the bedroom.
Is Fred in the school?"	no	the answer is: no.
10	5	" 
Bill is either in the office or the kitchen.
Julie is either in the kitchen or the park.
Is Fred in the bedroom?"	yes	the answer is: yes.
10	5	" 
Mary is in the park.
Mary went back to the office.
Is Mary in the kitchen?"	no	the answer is: no.
10	5	" 
Bill went back to the kitchen.
Bill journeyed to the bedroom.
Is Mary in the office?"	yes	the answer is: yes.
11	1	"John journeyed to the hallway.
After that he journeyed to the garden.
Where is John?"	garden	john is in the garden.	0.0	0.68
11	1	" 
John moved to the office.
Following that he went to the hallway.
Where is John?"	hallway	john is in the hallway.
11	1	" 
Sandra travelled to the bedroom.
Then she moved to the hallway.
Where is Sandra?"	hallway	sandra is in the hallway.
11	1	" 
Mary travelled to the hallway.
Afterwards she went to the bathroom.
Where is Sandra?"	hallway	we don't know where sandra is, because the question is
11	1	" 
John went back to the office.
After that he moved to the bathroom.
Where is Mary?"	bathroom	we don't know where mary is, because the question is
11	2	"Daniel travelled to the office.
After that he went back to the kitchen.
Where is Daniel?"	kitchen	according to the context sentences, daniel is in the office initially
11	2	" 
Daniel journeyed to the office.
After that he went to the kitchen.
Where is Daniel?"	kitchen	according to the context sentences, daniel is in the kitchen.
11	2	" 
Mary journeyed to the bathroom.
Following that she travelled to the hallway.
Where is Mary?"	hallway	according to the context sentences, mary is in the hallway.
11	2	" 
Daniel went back to the hallway.
Afterwards he went back to the garden.
Where is Daniel?"	garden	according to the context sentences, daniel is in the garden.
11	2	" 
Mary travelled to the bathroom.
Following that she went back to the kitchen.
Where is Mary?"	kitchen	according to the context sentences, mary is in the kitchen.
11	3	"John went to the hallway.
Following that he went back to the kitchen.
Where is John?"	kitchen	john is in the kitchen.
11	3	" 
Sandra travelled to the kitchen.
After that she went back to the hallway.
Where is Sandra?"	hallway	sandra is in the hallway.
11	3	" 
John travelled to the garden.
Then he went to the hallway.
Where is John?"	hallway	john is in the hallway.
11	3	" 
Daniel journeyed to the garden.
Following that he travelled to the bathroom.
Where is Daniel?"	bathroom	daniel is in the bathroom.
11	3	" 
John travelled to the kitchen.
Following that he travelled to the bathroom.
Where is Daniel?"	bathroom	we don't have any information about daniel's location. the
11	4	"Sandra moved to the office.
Afterwards she journeyed to the kitchen.
Where is Sandra?"	kitchen	according to the context sentences, sandra is in the office.
11	4	" 
Daniel went to the hallway.
Then he journeyed to the kitchen.
Where is Sandra?"	kitchen	the question is asking about sandra, but the context sentences only
11	4	" 
Sandra travelled to the hallway.
Afterwards she journeyed to the kitchen.
Where is Sandra?"	kitchen	according to the context sentences, sandra is in the kitchen.
11	4	" 
Daniel moved to the garden.
Then he went to the bedroom.
Where is Daniel?"	bedroom	according to the context sentences, daniel is in the bedroom.
11	4	" 
Sandra went to the bathroom.
Afterwards she went to the hallway.
Where is Daniel?"	bedroom	the question is asking about daniel, but the context sentences only
11	5	"Sandra journeyed to the hallway.
Then she journeyed to the kitchen.
Where is Sandra?"	kitchen	according to the context sentences, sandra is in the kitchen.
11	5	" 
Daniel travelled to the kitchen.
Afterwards he went back to the bedroom.
Where is Daniel?"	bedroom	according to the context sentences, daniel is in the bedroom.
11	5	" 
Daniel moved to the bathroom.
Then he travelled to the garden.
Where is Daniel?"	garden	according to the context sentences, daniel is in the garden.
11	5	" 
Daniel went back to the office.
After that he moved to the bathroom.
Where is Daniel?"	bathroom	according to the context sentences, daniel is in the bathroom.
11	5	" 
Mary moved to the office.
Then she moved to the bedroom.
Where is Mary?"	bedroom	there is no information about mary in the given context sentences.
12	1	"John and Mary travelled to the hallway.
Sandra and Mary journeyed to the bedroom.
Where is Mary?"	bedroom	according to the context sentences, mary is in the bedroom.	0.0	0.64
12	1	" 
Mary and Daniel travelled to the bathroom.
Daniel and Sandra journeyed to the office.
Where is Mary?"	bathroom	according to the context sentences, mary is in the bathroom.
12	1	" 
Daniel and Mary went to the bedroom.
Daniel and Sandra travelled to the hallway.
Where is Sandra?"	hallway	according to the context sentences, sandra is in the hallway.
12	1	" 
Mary and Sandra journeyed to the garden.
Sandra and Mary travelled to the hallway.
Where is Mary?"	hallway	according to the context sentences, mary is in the hallway.
12	1	" 
Daniel and John journeyed to the bathroom.
Daniel and Mary went back to the office.
Where is John?"	bathroom	according to the context sentences, john is in the bathroom.
12	2	"Daniel and Mary journeyed to the office.
Mary and Sandra went back to the bedroom.
Where is Mary?"	bedroom	based on the context sentences, mary is in the bedroom.
12	2	" 
Daniel and Sandra journeyed to the hallway.
Mary and Sandra travelled to the bathroom.
Where is Sandra?"	bathroom	based on the context sentences, sandra is in the hallway or
12	2	" 
Mary and John travelled to the kitchen.
Mary and Daniel journeyed to the bedroom.
Where is Mary?"	bedroom	based on the context sentences, mary is in the bedroom.
12	2	" 
John and Daniel moved to the office.
John and Mary moved to the hallway.
Where is Daniel?"	office	based on the context sentences, daniel is in the office.
12	2	" 
John and Mary moved to the garden.
John and Mary journeyed to the kitchen.
Where is John?"	kitchen	based on the context sentences, john is in the garden or
12	3	"Mary and Sandra went to the bathroom.
Daniel and John journeyed to the hallway.
Where is Mary?"	bathroom	according to the context sentences, mary is in the bathroom.
12	3	" 
Mary and John moved to the bedroom.
John and Sandra travelled to the office.
Where is John?"	office	according to the context sentences, john is in the bedroom.
12	3	" 
Sandra and Mary journeyed to the kitchen.
Mary and Daniel moved to the office.
Where is Daniel?"	office	according to the context sentences, daniel is in the office.
12	3	" 
John and Sandra travelled to the garden.
Mary and Daniel moved to the hallway.
Where is Sandra?"	garden	according to the context sentences, sandra is in the garden.
12	3	" 
Mary and Sandra went to the bathroom.
Sandra and Mary moved to the hallway.
Where is Mary?"	hallway	according to the context sentences, mary is in the hallway.
12	4	"Sandra and Mary moved to the bathroom.
Sandra and John went to the hallway.
Where is Mary?"	bathroom	according to the context sentences, mary was initially mentioned as being
12	4	" 
Mary and Sandra journeyed to the kitchen.
Mary and John journeyed to the garden.
Where is Sandra?"	kitchen	according to the context sentences, sandra was initially mentioned as being
12	4	" 
Mary and Sandra travelled to the bathroom.
Daniel and Sandra went to the garden.
Where is Sandra?"	garden	according to the context sentences, sandra was initially mentioned as being
12	4	" 
John and Sandra went to the office.
Daniel and John went to the bathroom.
Where is Daniel?"	bathroom	according to the context sentences, daniel was not mentioned as being
12	4	" 
Mary and Daniel went back to the bedroom.
John and Daniel travelled to the hallway.
Where is Daniel?"	hallway	according to the context sentences, daniel is in the bedroom.
12	5	"Sandra and John went to the garden.
Mary and John moved to the kitchen.
Where is John?"	kitchen	according to the context sentences, john is in the kitchen.
12	5	" 
John and Daniel travelled to the hallway.
John and Mary went back to the garden.
Where is Daniel?"	hallway	according to the context sentences, we don't have any information
12	5	" 
Sandra and Mary moved to the office.
Mary and Daniel journeyed to the kitchen.
Where is Daniel?"	kitchen	according to the context sentences, daniel is in the kitchen.
12	5	" 
John and Daniel moved to the bathroom.
Mary and Sandra travelled to the garden.
Where is Mary?"	garden	according to the context sentences, mary is in the garden.
12	5	" 
John and Daniel journeyed to the hallway.
John and Sandra moved to the office.
Where is Sandra?"	office	according to the context sentences, sandra is in the office.
13	1	"John and Mary went back to the hallway.
Then they went to the bathroom.
Where is John?"	bathroom	according to the context, john is in the bathroom.	0.0	0.44
13	1	" 
Mary and John moved to the hallway.
Following that they moved to the kitchen.
Where is John?"	kitchen	according to the context, john is in the kitchen.
13	1	" 
Daniel and Sandra went to the office.
Following that they went back to the kitchen.
Where is John?"	kitchen	there is no mention of john in this context. the context
13	1	" 
John and Daniel journeyed to the office.
Following that they travelled to the hallway.
Where is Sandra?"	kitchen	there is no mention of sandra's current location in this context
13	1	" 
Mary and Sandra travelled to the garden.
After that they went back to the kitchen.
Where is Sandra?"	kitchen	according to the context, sandra is in the kitchen.
13	2	"Daniel and John went back to the kitchen.
Following that they went back to the hallway.
Where is Daniel?"	hallway	based on the context sentences, we know that daniel and john
13	2	" 
Sandra and Mary travelled to the office.
Following that they travelled to the hallway.
Where is Mary?"	hallway	based on the context sentences, we know that sandra and mary
13	2	" 
Mary and Sandra travelled to the bedroom.
Then they travelled to the office.
Where is Mary?"	office	based on the context sentences, we know that mary and sandra
13	2	" 
Daniel and Sandra travelled to the garden.
After that they journeyed to the hallway.
Where is Daniel?"	hallway	based on the context sentences, we know that daniel and sandra
13	2	" 
Mary and Sandra went back to the garden.
Then they moved to the hallway.
Where is Sandra?"	hallway	based on the context sentences, we know that mary and sandra
13	3	"Mary and Daniel moved to the bedroom.
Afterwards they journeyed to the kitchen.
Where is Daniel?"	kitchen	according to the context sentences, it is not explicitly stated where
13	3	" 
Daniel and Sandra went to the hallway.
Following that they journeyed to the garden.
Where is Daniel?"	garden	according to the context sentences, daniel is in the garden.
13	3	" 
John and Mary travelled to the hallway.
Then they went to the bathroom.
Where is Mary?"	bathroom	according to the context sentences, mary is in the bathroom.
13	3	" 
Mary and John journeyed to the hallway.
Then they travelled to the garden.
Where is Mary?"	garden	according to the context sentences, mary is in the garden.
13	3	" 
Sandra and Mary moved to the office.
Then they travelled to the garden.
Where is Mary?"	garden	according to the context sentences, mary is in the garden.
13	4	"Daniel and Mary went back to the hallway.
Following that they went to the bathroom.
Where is Mary?"	bathroom	according to the context sentences, mary was previously mentioned to be
13	4	" 
John and Mary travelled to the kitchen.
After that they moved to the garden.
Where is Mary?"	garden	according to the context sentences, mary is currently in the garden
13	4	" 
Mary and Sandra went to the office.
Following that they travelled to the bedroom.
Where is Mary?"	bedroom	according to the context sentences, mary is currently in the bedroom
13	4	" 
Sandra and Mary went back to the kitchen.
Following that they travelled to the bedroom.
Where is Sandra?"	bedroom	according to the context sentences, sandra is currently in the bedroom
13	4	" 
Daniel and Mary moved to the kitchen.
Following that they journeyed to the office.
Where is Daniel?"	office	according to the context sentences, daniel is currently in the office
13	5	"Mary and John went to the hallway.
Afterwards they travelled to the bedroom.
Where is Mary?"	bedroom	according to the context sentences, mary's last known location was
13	5	" 
Daniel and Mary went back to the garden.
Afterwards they travelled to the hallway.
Where is Daniel?"	hallway	there is no mention of daniel in the original context sentences.
13	5	" 
Daniel and Sandra moved to the kitchen.
Afterwards they moved to the bathroom.
Where is Daniel?"	bathroom	there is no mention of daniel in the original context sentences.
13	5	" 
Sandra and Mary went back to the office.
Following that they moved to the bathroom.
Where is Mary?"	bathroom	according to the context sentences, mary's last known location was
13	5	" 
John and Mary moved to the kitchen.
After that they went to the bathroom.
Where is John?"	bathroom	according to the context sentences, john's last known location was
14	1	"This morning Mary moved to the kitchen.
This afternoon Mary moved to the cinema.
Yesterday Bill went to the bedroom.
Yesterday Mary journeyed to the school.
Where was Mary before the cinema?"	kitchen	according to the context sentences, mary was in the kitchen before	0.0	0.44
14	1	" 
Yesterday Fred went back to the cinema.
Bill journeyed to the office this morning.
Where was Bill before the office?"	bedroom	according to the context sentences, bill was in the bedroom before
14	1	" 
Mary went to the school this evening.
This afternoon Bill journeyed to the kitchen.
Where was Bill before the office?"	bedroom	according to the context sentences, bill was in the bedroom before
14	1	" 
Julie went to the office yesterday.
This morning Fred journeyed to the office.
Where was Mary before the school?"	cinema	according to the context sentences, mary was in the school before
14	1	" 
This evening Fred journeyed to the school.
This afternoon Fred journeyed to the bedroom.
Where was Mary before the school?"	cinema	according to the context sentences, mary was in the cinema before
14	2	"Julie went back to the school yesterday.
Fred journeyed to the cinema yesterday.
Bill went back to the school this morning.
Yesterday Bill travelled to the bedroom.
Where was Bill before the school?"	bedroom	according to the context sentences, bill went back to the school
14	2	" 
Mary travelled to the cinema this morning.
Yesterday Mary moved to the office.
Where was Mary before the cinema?"	office	according to the context sentences, mary travelled to the cinema this
14	2	" 
This morning Fred journeyed to the park.
This afternoon Mary moved to the kitchen.
Where was Mary before the cinema?"	office	according to the context sentences, we don't have any information
14	2	" 
Bill moved to the bedroom this afternoon.
This morning Julie travelled to the office.
Where was Julie before the office?"	school	according to the context sentences, julie went back to the school
14	2	" 
This afternoon Julie went to the kitchen.
This evening Mary moved to the school.
Where was Julie before the office?"	school	according to the context sentences, julie travelled to the office
14	3	"Fred travelled to the kitchen yesterday.
Julie journeyed to the park yesterday.
Mary journeyed to the park yesterday.
This morning Mary journeyed to the cinema.
Where was Mary before the cinema?"	park	according to the context sentences, mary was in the park before
14	3	" 
Mary moved to the kitchen this evening.
This afternoon Mary moved to the office.
Where was Mary before the office?"	cinema	according to the context sentences, mary was in the cinema before
14	3	" 
This morning Fred went to the bedroom.
This morning Julie went to the bedroom.
Where was Julie before the bedroom?"	park	according to the context sentences, julie was not mentioned to be
14	3	" 
Julie travelled to the kitchen this afternoon.
Yesterday Bill journeyed to the office.
Where was Julie before the bedroom?"	park	according to the context sentences, julie was not mentioned to be
14	3	" 
Fred travelled to the bedroom this evening.
Fred moved to the cinema this afternoon.
Where was Fred before the bedroom?"	cinema	according to the context sentences, fred was in the cinema before
14	4	"This morning Fred journeyed to the cinema.
Yesterday Fred went back to the office.
Yesterday Julie travelled to the office.
This morning Julie travelled to the bedroom.
Where was Julie before the bedroom?"	office	according to the context sentences, julie travelled to the office yesterday
14	4	" 
Mary went to the park yesterday.
Yesterday Bill went back to the cinema.
Where was Fred before the cinema?"	office	according to the context sentences, we don't have any information
14	4	" 
Mary journeyed to the office this afternoon.
Mary moved to the bedroom this morning.
Where was Fred before the cinema?"	office	according to the context sentences, we don't have any information
14	4	" 
Fred journeyed to the office this evening.
Fred travelled to the kitchen this afternoon.
Where was Mary before the office?"	bedroom	according to the context sentences, mary journeyed to the office
14	4	" 
This evening Julie moved to the office.
Julie journeyed to the kitchen this afternoon.
Where was Julie before the kitchen?"	bedroom	according to the context sentences, julie journeyed to the kitchen
14	5	"Mary went back to the kitchen this morning.
Mary travelled to the school yesterday.
Where was Mary before the kitchen?"	school	according to the context, mary was not in the kitchen before
14	5	" 
Yesterday Fred travelled to the bedroom.
Yesterday Bill moved to the park.
Where was Mary before the kitchen?"	school	the context sentences provided earlier mentioned that mary went back to the
14	5	" 
This afternoon Bill went back to the park.
Bill went to the school this morning.
Where was Bill before the park?"	school	according to the context, bill was at the school before going
14	5	" 
Bill travelled to the office this evening.
This afternoon Mary journeyed to the cinema.
Where was Bill before the park?"	school	according to the previous context, bill was at the school before
14	5	" 
This evening Mary journeyed to the kitchen.
Julie went back to the office yesterday.
Where was Mary before the kitchen?"	cinema	according to the previous context, mary went back to the kitchen
15	1	"Wolves are afraid of mice.
Sheep are afraid of mice.
Winona is a sheep.
Mice are afraid of cats.
Cats are afraid of wolves.
Jessica is a mouse.
Emily is a cat.
Gertrude is a wolf.
What is emily afraid of?"	wolf	according to the context sentences, emily is a cat, and	0.0	0.05
15	1	"
What is winona afraid of?"	mouse	according to the context sentences, winona is a sheep,
15	1	"
What is gertrude afraid of?"	mouse	according to the context sentences, gertrude is a wolf
15	1	"
What is jessica afraid of?"	cat	according to the context sentences, jessica is a mouse, and
15	2	"Cats are afraid of wolves.
Mice are afraid of cats.
Sheep are afraid of mice.
Gertrude is a cat.
Wolves are afraid of sheep.
Jessica is a mouse.
Emily is a wolf.
Winona is a cat.
What is emily afraid of?"	sheep	according to the context sentences, emily is a wolf, and
15	2	"
What is emily afraid of?"	sheep	according to the context sentences, emily is a wolf, and
15	2	"
What is jessica afraid of?"	cat	according to the context sentences, jessica is a mouse, and
15	2	"
What is gertrude afraid of?"	wolf	according to the context sentences, gertrude is a cat
15	3	"Cats are afraid of wolves.
Winona is a cat.
Emily is a cat.
Mice are afraid of wolves.
Wolves are afraid of mice.
Sheep are afraid of cats.
Gertrude is a mouse.
Jessica is a mouse.
What is gertrude afraid of?"	wolf	according to the context sentences, gertrude is a mouse
15	3	"
What is emily afraid of?"	wolf	according to the context sentences, emily is a cat, and
15	3	"
What is gertrude afraid of?"	wolf	according to the context sentences, wolves are afraid of mice,
15	3	"
What is emily afraid of?"	wolf	according to the context sentences, sheep are afraid of cats,
15	4	"Mice are afraid of wolves.
Wolves are afraid of mice.
Cats are afraid of sheep.
Jessica is a cat.
Emily is a cat.
Winona is a mouse.
Sheep are afraid of wolves.
Gertrude is a sheep.
What is gertrude afraid of?"	wolf	according to the context sentences, sheep are afraid of wolves.
15	4	"
What is winona afraid of?"	wolf	according to the context sentences, wolves are afraid of mice.
15	4	"
What is gertrude afraid of?"	wolf	according to the context sentences, sheep are afraid of wolves.
15	4	"
What is gertrude afraid of?"	wolf	according to the context sentences, sheep are afraid of wolves.
15	5	"Sheep are afraid of cats.
Jessica is a sheep.
Mice are afraid of sheep.
Cats are afraid of sheep.
Wolves are afraid of mice.
Emily is a sheep.
Gertrude is a sheep.
Winona is a mouse.
What is winona afraid of?"	sheep	according to the context, winona is a mouse, and
15	5	"
What is jessica afraid of?"	cat	according to the context, jessica is a sheep, and sheep
15	5	"
What is gertrude afraid of?"	cat	according to the context, gertrude is a sheep,
15	5	"
What is gertrude afraid of?"	cat	according to the context, cats are afraid of sheep, so
